StartIndex	EndIndex	GO:ID	Term	ConceptName	PreferredName	CUID
19719	19730	GO:0000003	other genes	reproduction	Reproduction	C0035150
19902	19944	GO:0007567	by gene targeting in embryonic stem cells.	parturition	Birth	C0005615
20218	20242	GO:0009289	hair-color distribution,	pilus	Bacterial Fimbria	C0031921
20531	20543	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
20623	20626	GO:0007601	see	vision	Vision	C0042789
20674	20688	GO:0043473	the pigmentary	pigmentation	Pigmentation	C0031911
21237	21243	GO:0043198	trunk,	dendritic shaft		C1523842
21472	21522	GO:0009790	the exact nature of the embryonic flank expression	embryo development	Embryonic Development	C0013936
21642	21653	GO:0032502	development	development	Biologic Development	C0678723
22080	22123	GO:0030261	most strongly in the condensed upper dermis	chromosome condensation	Chromosome Condensation	C1155631
22128	22171	GO:0009289	developing dermal sheaths of hair follicles	pilus	Bacterial Fimbria	C0031921
22235	22239	GO:0005623	cell	cell	Cells	C0007634
22286	22301	GO:0043473	on pigment-type	pigmentation	Pigmentation	C0031911
22335	22346	GO:0042640	hair growth	hair growth	Hair growth	C0232407
23078	23110	GO:0009790	more dorsally in deh/deh embryos	embryo development	Embryonic Development	C0013936
23292	23296	GO:0005623	cell	cell	Cells	C0007634
23327	23339	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
23402	23485	GO:0007567	by dorsal extension of agouti expression after birth, patterned expression of tbx15	parturition	Birth	C0005615
23644	23686	GO:0009790	relationship of embryonic tbx15 expression	embryo development	Embryonic Development	C0013936
23709	23721	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
23831	23860	GO:0009790	in the embryonic dorsal flank	embryo development	Embryonic Development	C0013936
23928	23975	GO:0046148	at least with respect to pigment-type synthesis	pigment biosynthetic process		C1157717
24074	24139	GO:0009790	out transplantation experiments in which pieces of embryonic skin	embryo development	Embryonic Development	C0013936
24206	24224	GO:0009790	the embryonic skin	embryo development	Embryonic Development	C0013936
24263	24292	GO:0009289	rise to different hair colors	pilus	Bacterial Fimbria	C0031921
24461	24471	GO:0009790	at embryos	embryo development	Embryonic Development	C0013936
24496	24508	GO:0009289	yellow hair,	pilus	Bacterial Fimbria	C0031921
24608	24650	GO:0006310	dermal-epidermal recombination experiments	DNA recombination	Recombination, Genetic	C0034865
24713	24745	GO:0009790	carried by the embryonic dermis.	embryo development	Embryonic Development	C0013936
24792	24811	GO:0009790	embryonic skin from	embryo development	Embryonic Development	C0013936
24815	24844	GO:0009790	a embryos into dorsal, flank,	embryo development	Embryonic Development	C0013936
24941	24982	GO:0009289	yellow hair after testis transplantation,	pilus	Bacterial Fimbria	C0031921
25005	25020	GO:0010467	gene expression	gene expression	Gene Expression	C0017262
25467	25516	GO:0009790	the earliest time at which embryonic ventral skin	embryo development	Embryonic Development	C0013936
25536	25540	GO:0009289	hair	pilus	Bacterial Fimbria	C0031921
25588	25607	GO:0009289	that produced hair,	pilus	Bacterial Fimbria	C0031921
25626	25645	GO:0009289	rise to yellow hair	pilus	Bacterial Fimbria	C0031921
25676	25694	GO:0009289	rise to black hair	pilus	Bacterial Fimbria	C0031921
25739	25769	GO:0009289	rise to a patch of yellow hair	pilus	Bacterial Fimbria	C0031921
25770	25810	GO:0009289	juxtaposed against a patch of black hair	pilus	Bacterial Fimbria	C0031921
25909	25921	GO:0009289	yellow hair.	pilus	Bacterial Fimbria	C0031921
25975	25988	GO:0009289	yellow hairs.	pilus	Bacterial Fimbria	C0031921
26046	26049	GO:0007601	see	vision	Vision	C0042789
26143	26153	GO:0007567	both genes	parturition	Birth	C0005615
26143	26153	GO:0000003	both genes	reproduction	Reproduction	C0035150
26155	26158	GO:0007601	see	vision	Vision	C0042789
26208	26220	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
26401	26417	GO:0043588	skin development	skin development		C1655760
26504	26553	GO:0043473	relationship of the dorsoventral pigment boundary	pigmentation	Pigmentation	C0031911
26654	26691	GO:0009790	the boundary between embryonic dorsum	embryo development	Embryonic Development	C0013936
26696	26711	GO:0009790	embryonic flank	embryo development	Embryonic Development	C0013936
26715	26762	GO:0009790	a characteristic feature in vertebrate embryos.	embryo development	Embryonic Development	C0013936
26766	26770	GO:0005623	cell	cell	Cells	C0007634
27158	27183	GO:0009790	out in mammalian embryos,	embryo development	Embryonic Development	C0013936
27401	27413	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
27461	27464	GO:0007601	see	vision	Vision	C0042789
27526	27538	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
27755	27775	GO:0009790	midgestation embryos	embryo development	Embryonic Development	C0013936
27818	27845	GO:0007567	the r26r lacz reporter gene	parturition	Birth	C0005615
27818	27845	GO:0000003	the r26r lacz reporter gene	reproduction	Reproduction	C0035150
27914	27955	GO:0043198	not somite-derived mesoderm of the trunk.	dendritic shaft		C1523842
28498	28510	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
28498	28523	GO:0043473	the pigmentation boundary	pigmentation	Pigmentation	C0031911
28716	28719	GO:0007601	see	vision	Vision	C0042789
28848	28860	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
29383	29394	GO:0032502	development	development	Biologic Development	C0678723
29425	29437	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
29602	29607	GO:0007567	genes	parturition	Birth	C0005615
29602	29607	GO:0000003	genes	reproduction	Reproduction	C0035150
29656	29681	GO:0001942	hair follicle development	hair follicle development		C1622381
29696	29718	GO:0007567	the only gene of which	parturition	Birth	C0005615
29696	29718	GO:0000003	the only gene of which	reproduction	Reproduction	C0035150
29745	29777	GO:0009289	the pattern of hair pigmentation	pilus	Bacterial Fimbria	C0031921
29841	29866	GO:0009289	yellow hair in the trunk,	pilus	Bacterial Fimbria	C0031921
29933	29955	GO:0043198	in the trunk at least,	dendritic shaft		C1523842
30276	30299	GO:0007567	contiguous gene effect.	parturition	Birth	C0005615
30276	30299	GO:0000003	contiguous gene effect.	reproduction	Reproduction	C0035150
30354	30365	GO:0007567	other genes	parturition	Birth	C0005615
30354	30365	GO:0000003	other genes	reproduction	Reproduction	C0035150
30771	30796	GO:0043473	with regard to pigmentary	pigmentation	Pigmentation	C0031911
30801	30824	GO:0009289	hair length patterning.	pilus	Bacterial Fimbria	C0031921
30948	30964	GO:0060173	limb development	limb development	Limb Development	C1517884
31029	31063	GO:0007567	a novel role for t-box gene action	parturition	Birth	C0005615
31029	31063	GO:0000003	a novel role for t-box gene action	reproduction	Reproduction	C0035150
31064	31088	GO:0009790	in embryonic development	embryo development	Embryonic Development	C0013936
31479	31494	GO:0010467	gene expression	gene expression	Gene Expression	C0017262
31499	31503	GO:0005623	cell	cell	Cells	C0007634
31557	31586	GO:0009790	agouti mrna in both embryonic	embryo development	Embryonic Development	C0013936
31745	31759	GO:0009289	on hair length	pilus	Bacterial Fimbria	C0031921
32034	32050	GO:0043473	for pigment-type	pigmentation	Pigmentation	C0031911
32065	32080	GO:0043473	pigment content	pigmentation	Pigmentation	C0031911
32134	32137	GO:0007601	see	vision	Vision	C0042789
32230	32250	GO:0009289	hair pigment content	pilus	Bacterial Fimbria	C0031921
32343	32363	GO:0007567	genetic backgrounds,	parturition	Birth	C0005615
32343	32363	GO:0000003	genetic backgrounds,	reproduction	Reproduction	C0035150
32450	32490	GO:0009289	dorsoventral transitions of hair length,	pilus	Bacterial Fimbria	C0031921
32491	32507	GO:0043473	pigment content,	pigmentation	Pigmentation	C0031911
32656	32668	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
32878	32889	GO:0009289	yellow hair	pilus	Bacterial Fimbria	C0031921
32923	32969	GO:0003677	named for the presence of a dna-binding domain	DNA binding	dna binding	C1148673
32976	33014	GO:0007567	identified in the mouse brachyury gene	parturition	Birth	C0005615
32976	33014	GO:0000003	identified in the mouse brachyury gene	reproduction	Reproduction	C0035150
33057	33079	GO:0007567	t box-containing genes	parturition	Birth	C0005615
33057	33079	GO:0000003	t box-containing genes	reproduction	Reproduction	C0035150
33104	33115	GO:0032502	development	development	Biologic Development	C0678723
33349	33375	GO:0007567	a single gene in amphioxus	parturition	Birth	C0005615
33349	33375	GO:0000003	a single gene in amphioxus	reproduction	Reproduction	C0035150
33476	33491	GO:0007567	the three genes	parturition	Birth	C0005615
33476	33491	GO:0000003	the three genes	reproduction	Reproduction	C0035150
33653	33669	GO:0007567	all three genes,	parturition	Birth	C0005615
33653	33669	GO:0000003	all three genes,	reproduction	Reproduction	C0035150
33843	33871	GO:0007567	an ancestral gene for tbx15,	parturition	Birth	C0005615
33843	33871	GO:0000003	an ancestral gene for tbx15,	reproduction	Reproduction	C0035150
33917	33941	GO:1904888	craniofacial development	craniofacial development		C4232533
34018	34053	GO:0060173	developmental functions in the limb	limb development	Limb Development	C1517884
34058	34102	GO:0043198	the trunk during early vertebrate evolution.	dendritic shaft		C1523842
34146	34185	GO:0009790	reported in embryonic flank mesenchyme,	embryo development	Embryonic Development	C0013936
34263	34302	GO:0043198	the dorsoventral identity of the trunk.	dendritic shaft		C1523842
34667	34701	GO:0009790	in periocular embryonic mesenchyme	embryo development	Embryonic Development	C0013936
34793	34801	GO:0007601	the eye,	vision	Vision	C0042789
35012	35022	GO:0005694	chromosome	chromosome	Chromosomes	C0008633
35115	35157	GO:0033736	a weak positive lod score to chromosome 1p	L-lysine 6-oxidase activity		C2247199
35191	35238	GO:0030849	described as a rare autosomal-dominant syndrome	autosome	Autosome	C0596142
35726	35767	GO:0030849	an unmapped autosomal recessive condition	autosome	Autosome	C0596142
35968	35988	GO:0001501	skeletal development	skeletal development		C1160401
36027	36059	GO:0007567	the aristaless-related gene alx3	parturition	Birth	C0005615
36027	36059	GO:0000003	the aristaless-related gene alx3	reproduction	Reproduction	C0035150
36366	36377	GO:0032502	development	development	Biologic Development	C0678723
36469	36490	GO:0043473	in pigment patterning	pigmentation	Pigmentation	C0031911
36576	36600	GO:0009790	expressed in the embryo,	embryo development	Embryonic Development	C0013936
36675	36724	GO:0009790	an expanded domain of embryonic agouti expression	embryo development	Embryonic Development	C0013936
36847	36870	GO:0007567	among other t-box genes	parturition	Birth	C0005615
36847	36870	GO:0000003	among other t-box genes	reproduction	Reproduction	C0035150
36877	36888	GO:0032502	development	development	Biologic Development	C0678723
37066	37070	GO:0005623	cell	cell	Cells	C0007634
37118	37162	GO:0016049	proliferative expansion of a cell population	cell growth		C0007595
37501	37548	GO:0009790	that embryonic cells in dorsolateral mesenchyme	embryo development	Embryonic Development	C0013936
37609	37613	GO:0005623	cell	cell	Cells	C0007634
37645	37697	GO:0016049	followed by compensatory expansion of ventral cells.	cell growth		C0007595
37698	37702	GO:0005623	cell	cell	Cells	C0007634
37836	37875	GO:0009289	according to hair color in deh/deh mice	pilus	Bacterial Fimbria	C0031921
38006	38009	GO:0007601	see	vision	Vision	C0042789
38022	38046	GO:0009790	in embryonic mesenchyme,	embryo development	Embryonic Development	C0013936
38159	38172	GO:0006351	transcription	transcription	Transcription, Genetic	C0040649
38526	38554	GO:0007567	genes in addition to agouti,	parturition	Birth	C0005615
38526	38554	GO:0000003	genes in addition to agouti,	reproduction	Reproduction	C0035150
38561	38572	GO:0009289	hair length	pilus	Bacterial Fimbria	C0031921
38748	38790	GO:0009790	expressed in ventral embryonic mesenchyme,	embryo development	Embryonic Development	C0013936
38818	38831	GO:0009289	hair-follicle	pilus	Bacterial Fimbria	C0031921
38852	38876	GO:1904888	craniofacial development	craniofacial development		C4232533
39075	39093	GO:0009790	in deh/deh embryos	embryo development	Embryonic Development	C0013936
39202	39237	GO:0009289	regional distribution of hair color	pilus	Bacterial Fimbria	C0031921
39291	39301	GO:0009289	black hair	pilus	Bacterial Fimbria	C0031921
39309	39337	GO:0009289	rise to yellow hair instead.	pilus	Bacterial Fimbria	C0031921
39347	39396	GO:0007389	neither normal patterns of pigment-type synthesis	pattern formation	Pattern Formation	C1160421
39468	39479	GO:0032502	development	development	Biologic Development	C0678723
39766	39800	GO:0009289	distribution of hair-color regions	pilus	Bacterial Fimbria	C0031921
39839	39851	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
39912	39947	GO:0046148	unrelated to pigment-type synthesis	pigment biosynthetic process		C1157717
40069	40106	GO:0033059	of pigment cells in ventral epidermis	cellular pigmentation		C2246453
40188	40225	GO:0043198	control of dorsoventral trunk pattern	dendritic shaft		C1523842
40314	40347	GO:0000988	a lim domain transcription factor	transcription factor activity		C1148759
40314	40347	GO:0001070	a lim domain transcription factor	transcription factor activity		C1148759
40314	40347	GO:0001071	a lim domain transcription factor	transcription factor activity		C1148759
40314	40347	GO:0003700	a lim domain transcription factor	transcription factor activity		C1148759
40561	40565	GO:0005623	cell	cell	Cells	C0007634
40651	40655	GO:0005623	cell	cell	Cells	C0007634
41153	41160	GO:0031430	midline	midline	midline cell component	C1660780
41332	41367	GO:0009289	patterns of hair-color distribution	pilus	Bacterial Fimbria	C0031921
41580	41598	GO:0043198	apply to the trunk	dendritic shaft		C1523842
41900	41936	GO:0043198	dorsoventral patterning in the trunk	dendritic shaft		C1523842
42041	42088	GO:0043198	a diffusible signal from dorsal trunk ectoderm,	dendritic shaft		C1523842
42140	42167	GO:0043198	in dorsal trunk mesenchyme,	dendritic shaft		C1523842
42191	42232	GO:0031254	dorsal positional identity of those cells	cell trailing edge		C1621432
42284	42309	GO:0070285	pigment-cell development,	pigment cell development		C2610977
42314	42325	GO:0042640	hair growth	hair growth	Hair growth	C0232407
42462	42474	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
42604	42635	GO:0043198	in trunk ectoderm as coincident	dendritic shaft		C1523842
43153	43166	GO:0043198	in the trunk,	dendritic shaft		C1523842
43332	43344	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
43551	43563	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
43813	43824	GO:0032502	development	development	Biologic Development	C0678723
43998	44010	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
44194	44207	GO:0001756	somitogenesis	somitogenesis		C1326539
44217	44228	GO:0032502	development	development	Biologic Development	C0678723
44393	44397	GO:0005623	cell	cell	Cells	C0007634
44406	44409	GO:0007601	see	vision	Vision	C0042789
44540	44552	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
44797	44801	GO:0005623	cell	cell	Cells	C0007634
45047	45073	GO:0046148	in pigment-type synthesis,	pigment biosynthetic process		C1157717
45089	45093	GO:0005623	cell	cell	Cells	C0007634
45164	45176	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
45231	45270	GO:0009289	more complicated patterns of hair type,	pilus	Bacterial Fimbria	C0031921
45419	45430	GO:0032502	development	development	Biologic Development	C0678723
45619	45631	GO:0043473	pigmentation	pigmentation	Pigmentation	C0031911
45654	45688	GO:0000785	reminiscent of coat-color patterns	chromatin	chromatin location	C1325550
